name,CHD2,EP300,ZNF384,CTCF,ZC3H11A,NANOG,HCFC1,MAFK,LAD,RNAPII-S5P,RNAPII-S7P,H3K27me3,Hist1,Vmn,H3K9me3,4-Oct,sox2,H3K36me3,med12,RNAPII-S2P,tcf3,Enhancer
chr13:21690000-21720000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:21720000-21750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
chr13:21750000-21780000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:21780000-21810000,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
chr13:21810000-21840000,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0
chr13:21840000-21870000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1
chr13:21870000-21900000,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1
chr13:21900000-21930000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1
chr13:21930000-21960000,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
chr13:21960000-21990000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
chr13:21990000-22020000,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1
chr13:22020000-22050000,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
chr13:22050000-22080000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
chr13:22080000-22110000,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
chr13:22110000-22140000,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
chr13:22140000-22170000,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
chr13:22170000-22200000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22200000-22230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
chr13:22230000-22260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
chr13:22260000-22290000,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
